Time(ms),Position
0,0
100,0.03
200,0.12
300,0.27
400,0.482403
500,0.753003
600,1.0836
700,1.4742
800,1.9248
900,2.4354
1000,3.012
1100,3.612
1200,4.212
1300,4.812
1400,5.412
1500,6.012
1600,6.612
1700,7.20825
1800,7.76224
1900,8.25044
2000,8.67864
2100,9.04684
2200,9.35504
2300,9.60324
2400,9.79144
2500,9.92062
2600,9.98822
2700,10
2800,10
2900,10
3000,10
3100,10
3200,10
3300,10
3400,10
3500,10
3600,10
3700,10
3800,10
3900,10
4000,10
4100,10
4200,10
4300,10
4400,10
4500,10
4600,10
4700,10
4800,10
4900,10
5000,10
5100,10
5200,10
5300,10
5400,10
5500,10
5600,10
5700,10
5800,10
5900,10
6000,10
6100,10
6200,10
6300,10
6400,10
6500,10
6600,10
6700,10
6800,10
6900,10
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
